,Mean Final Value,Median Final Value,Probability of Loss,95% Value at Risk,95% Expected Shortfall
Parametric Monte Carlo,11500.85098611296,11382.972589977797,0.193,-0.11157931001223316,-0.16436624087236418
Bootstrap Monte Carlo,11512.280334634725,11378.924891651954,0.1951,-0.11106610638262895,-0.1637271672836406
